administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
,0.0,0,0.0,21.0,931.0,0.0,0.006,0.0,Oct,Windows,Mozilla Firefox,South America,Bing search,Returning_Visitor,False,False
0.0,0.0,2,35.5,25.0,1672.0,0.0,0.004,0.0,May,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,23.0,527.0,0.0044,0.029,53.4,May,Windows,Google Chrome,South America,Twitter,Returning_Visitor,False,True
7.0,,0,,16.0,591.0,0.0083,0.001,0.0,Jul,MACOS,Safari,North America,Google search,New_Visitor,True,False
0.0,0.0,0,0.0,9.0,38.0,0.0,0.045,0.0,Mar,Windows,Google Chrome,Asia,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,12.0,385.0,0.0,0.02,0.0,Mar,Windows,Mozilla Firefox,Western Europe,Facebook ads,Returning_Visitor,True,False
6.0,65.3,4,22.4,210.0,,0.0193,0.036,0.0,Sep,Windows,Google Chrome,South America,Youtube ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,,266.0,0.0167,0.025,0.0,Nov,Android,Yandex,Southern Africa,Google search,Returning_Visitor,True,False
1.0,56.0,0,0.0,24.0,1287.0,0.0,0.016,24.3,May,MACOS,Safari,Asia,Bing search,Returning_Visitor,True,True
1.0,3.0,0,0.0,20.0,362.0,0.0,0.016,0.0,Oct,MACOS,Safari,North America,Google search,New_Visitor,True,False
4.0,318.6,0,0.0,62.0,1526.0,0.0053,0.009,0.0,Oct,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,True,False
1.0,0.0,0,0.0,30.0,,0.0,0.005,40.2,May,Windows,Google Chrome,North America,Instagram Page,New_Visitor,False,True
12.0,108.2727273,1,55.0,50.0,2402.0,0.0045,0.013,14.3,May,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,14.0,277.0,0.0,0.003,0.0,Jul,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
,0.0,0,0.0,16.0,132.0,0.0754,0.127,0.0,Nov,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,2.0,0.0,0.2,0.2,0.0,Nov,Android,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,10.0,234.0,0.0,0.015,0.0,Dec,Android,Google Chrome,North America,Google search,New_Visitor,True,False
5.0,68.3,1,19.4,8.0,200.0,0.0,0.005,0.0,Oct,Windows,Google Chrome,North America,Tik Tok ads,Returning_Visitor,False,False
5.0,60.5,0,0.0,40.0,1907.0,0.0088,0.024,0.0,May,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
11.0,262.7357647,2,10.0,25.0,805.0,0.0,0.01,11.8,Aug,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
0.0,,0,0.0,5.0,106.0,0.0333,0.047,0.0,Nov,Windows,Google Chrome,Eastern Europe,Google search,New_Visitor,False,False
9.0,177.0,1,53.0,70.0,2555.0,0.0097,0.026,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,10.0,113.0,0.01,0.031,0.0,Nov,Android,Google Chrome,Southern Africa,Google search,Returning_Visitor,True,True
2.0,19.0,0,0.0,11.0,2007.0,0.0,0.03,6.3,Mar,Windows,Opera,North America,Youtube channel,Returning_Visitor,False,False
0.0,0.0,0,0.0,5.0,114.0,0.0,0.021,0.0,Dec,Windows,Mozilla Firefox,North America,Twitter,Returning_Visitor,False,False
6.0,80.0,0,0.0,16.0,429.0,0.0,0.014,22.5,Mar,MACOS,Google Chrome,South America,Google search,New_Visitor,False,True
1.0,5.0,3,115.3333333,38.0,1206.0,0.0126,0.044,0.0,Dec,Windows,Google Chrome,South America,Facebook ads,Returning_Visitor,False,False
7.0,160.5,0,0.0,31.0,403.0,0.0,0.009,0.0,May,Windows,Google Chrome,North America,Bing search,Returning_Visitor,False,False
6.0,79.75,0,0.0,3.0,11.0,0.0,0.06,0.0,Dec,MACOS,Safari,Western Europe,Youtube channel,New_Visitor,False,False
3.0,55.0,0,0.0,48.0,3091.0,0.0046,0.021,0.0,May,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
7.0,1675.75,0,0.0,113.0,2240.0,0.0016,0.006,30.9,May,Windows,Microsoft Edge,North America,Google search,Returning_Visitor,False,True
2.0,58.0,1,7.0,57.0,2283.0,0.0,0.005,0.0,Mar,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
3.0,16.0,2,94.75,,1588.0,0.0,0.013,21.8,Nov,MACOS,Google Chrome,Asia,Instagram ads,Returning_Visitor,True,True
0.0,0.0,0,0.0,44.0,1099.0,0.0,0.024,0.0,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
0.0,0.0,0,0.0,3.0,45.0,0.04,0.05,0.0,May,MACOS,Safari,North America,Facebook ads,Returning_Visitor,False,False
2.0,14.0,0,0.0,53.0,665.0,0.0388,0.074,0.0,Nov,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
7.0,115.5,0,0.0,33.0,926.0,0.014,0.025,0.0,May,Android,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
5.0,235.0666667,1,45.4,12.0,369.0,0.0103,0.01,0.0,Oct,MACOS,Safari,Oceania,Google search,New_Visitor,False,False
0.0,0.0,0,0.0,40.0,1140.0,0.02,0.057,0.0,Nov,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
0.0,0.0,2,20.0,6.0,76.0,0.0,0.0,0.0,May,Windows,Mozilla Firefox,North America,Instagram Page,Returning_Visitor,False,False
3.0,90.0,0,0.0,25.0,763.0,0.0,0.013,149.6,Dec,MACOS,Safari,North America,Google search,New_Visitor,False,True
3.0,66.96666667,1,395.3333333,33.0,708.0,0.0057,0.019,0.0,May,MACOS,Safari,Africa,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,2.0,42.0,0.0,0.1,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
3.0,18.8,0,,18.0,147.0,0.0123,0.033,0.0,Nov,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,True
4.0,164.2,1,16.5,8.0,312.0,0.0,0.028,0.0,Oct,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
2.0,,0,0.0,15.0,821.0,0.0,0.004,0.0,Sep,Windows,Google Chrome,South America,Google search,New_Visitor,False,False
3.0,56.5,2,59.5,110.0,2828.0,0.0145,0.045,20.0,Dec,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
3.0,65.5,0,0.0,13.0,148.0,0.0061,0.024,0.0,Nov,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,True,False
4.0,80.0,0,0.0,37.0,2789.0,0.0,0.025,0.0,May,iOS,Safari,South America,Instagram ads,Returning_Visitor,False,False
0.0,0.0,0,0.0,22.0,717.0,0.0064,0.026,0.0,Nov,Windows,QQ,North America,Google search,Returning_Visitor,False,False
0.0,0.0,0,0.0,14.0,98.0,0.0,0.017,0.0,May,Windows,Mozilla Firefox,Eastern Europe,Instagram ads,Returning_Visitor,False,False
16.0,787.0756,6,396.621,36.0,2858.0,0.0137,0.021,1.3,Nov,MACOS,Safari,Western Europe,Google search,New_Visitor,False,True
5.0,28.25,0,0.0,155.0,4936.0,0.0,0.007,4.2,Nov,Windows,Mozilla Firefox,North America,Google search,Returning_Visitor,False,True
0.0,0.0,0,0.0,13.0,101.0,0.0,0.018,0.0,Nov,Android,Google Chrome,Western Europe,Youtube channel,New_Visitor,False,False
0.0,0.0,0,0.0,1.0,0.0,0.2,0.2,0.0,Aug,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,True,False
1.0,49.0,0,0.0,5.0,846.0,0.0,0.027,0.0,Nov,MACOS,Safari,Western Europe,Google search,Returning_Visitor,False,False
